1,220
2,410
3,30
4,201
5,280
6,460
7,181
8,65
9,430
10,203
11,250
12,470
13,63
14,71
15,100
16,245
17,161
18,350
19,176
20,184
21,40
22,130
23,191
24,372
25,242
26,281
27,177
28,200
29,170
30,50
31,450
32,292
33,330
34,246
35,440
36,244
37,260
38,185
39,363
40,31
41,192
42,52
43,64
44,186
45,341
46,415
47,162
48,51
49,61
50,282
51,73
52,361
53,53
54,42
55,371
56,182
57,139
58,41
59,62
60,125
61,72
62,160
63,143
64,291
65,101
66,243
67,174
68,10
69,261
70,141
71,202
72,171
73,74
74,465
75,221
76,92
77,183
78,179
79,204
80,43
81,249
82,342
83,343
84,373
85,321
86,362
87,481
88,365
89,482
90,126
91,320
92,122
93,124
94,49
95,323
96,121
97,345
98,344
99,346
100,127
101,322
102,347
