143,E PIKE ST / 11 AV
144,7XX BLOCK OF 12 AV
145,92XX BLOCK OF RAINIER AV S
146,MINOR AV N / DENNY WY
147,16XX BLOCK OF 11 AV
148,100XX BLOCK OF COLLEGE WY N
149,13XX BLOCK OF 6 AV
150,76XX BLOCK OF 46 AV S
151,1XX BLOCK OF NW 85 ST
152,105XX BLOCK OF AURORA AV N
153,5XX BLOCK OF 15 AV E
154,21XX BLOCK OF 2 AV
155,43XX BLOCK OF 12 AV NE
156,14XX BLOCK OF BROADWAY
157,6XX BLOCK OF DENNY WY
158,34XX BLOCK OF 39 AV W
159,37XX BLOCK OF CORLISS AV N
160,143XX BLOCK OF AURORA AV N
161,32XX BLOCK OF S FERDINAND ST
162,9XX BLOCK OF TERRY AV
163,44XX BLOCK OF DELRIDGE WY SW
164,21XX BLOCK OF WESTLAKE AV N
165,4XX BLOCK OF PINE ST
166,23XX BLOCK OF RAINIER AV S
167,11XX BLOCK OF S BENNETT ST
168,23XX BLOCK OF NE 65 ST
169,25XX BLOCK OF 28 AV W
170,15XX BLOCK OF UTAH AV S
171,21XX BLOCK OF HARBOR AV SW
172,47XX BLOCK OF BROOKLYN AV NE
173,S BAYVIEW ST / RAINIER AV S
174,5XX BLOCK OF S TRENTON ST
175,137XX BLOCK OF 39 AV NE
176,N 87 ST / GREENWOOD AV N
177,15 AV W / GILMAN DR W
178,SW BRANDON ST / CALIFORNIA AV SW
179,113XX BLOCK OF 5 AV NE
180,1XX BLOCK OF 21 AV
181,15XX BLOCK OF E OLIVE WY
182,35 AV SW / SW BARTON ST
183,PIKE ST / 3 AV
184,30XX BLOCK OF NE 140 ST
185,LEARY AV NW / 20 AV NW
186,20XX BLOCK OF NE 85 ST
187,E TERRACE ST / 36 AV
188,1XX BLOCK OF PIKE ST
189,11XX BLOCK OF PIKE ST
190,36XX BLOCK OF 4 AV S
191,BELMONT AV / E PIKE ST
192,12 AV NW / NW 85 ST
193,11XX BLOCK OF DENNY WY
194,16XX BLOCK OF S LANE ST
195,58XX BLOCK OF NE 75 ST
196,41XX BLOCK OF 11 AV NE
197,GREEN LAKE WY N / N 55 ST
198,1 AV S / S FINDLAY ST
199,12XX BLOCK OF S JACKSON ST
200,60XX BLOCK OF 39 AV S
201,113XX BLOCK OF 3 AV NE
202,42XX BLOCK OF BROOKLYN AV NE
203,4 AV S / S LANDER ST
204,3XX BLOCK OF 2 AV S
205,GREEN LAKE WY N / N 53 ST
206,6XX BLOCK OF 2 AV
207,N 95 ST / FREMONT AV N
208,15XX BLOCK OF 11 AV
209,3XX BLOCK OF W GARFIELD ST
210,22XX BLOCK OF 2 AV
211,123XX BLOCK OF 28 AV NE
212,6XX BLOCK OF JOHN ST
213,45XX BLOCK OF 19 AV NE
214,73XX BLOCK OF 25 AV NW
215,56XX BLOCK OF 4 AV NW
216,71XX BLOCK OF HOLLY PARK DR S
217,GREENWOOD AV N / N 125 ST
218,59XX BLOCK OF PHINNEY AV N
219,25XX BLOCK OF ALKI AV SW
220,35XX BLOCK OF S HOLDEN ST
221,43XX BLOCK OF 30 AV SW
222,4XX BLOCK OF MINOR AV N
223,1XX BLOCK OF YALE AV N
224,50XX BLOCK OF 15 AV NE
225,XX BLOCK OF UNIVERSITY ST
226,143XX BLOCK OF 32 AV NE
227,50XX BLOCK OF FAUNTLEROY WY SW
228,137XX BLOCK OF 15 AV NE
229,123XX BLOCK OF 15 AV NE
230,19XX BLOCK OF 1 AV
231,25XX BLOCK OF MINOR AV E
232,NE 50 ST / 9 AV NE
233,36XX BLOCK OF SW BARTON ST
234,15XX BLOCK OF 9 AV
235,19XX BLOCK OF N 45 ST
236,22XX BLOCK OF N 56 ST
237,14XX BLOCK OF MINOR AV
238,YALE AV N / JOHN ST
239,41XX BLOCK OF UNIVERSITY WY NE
240,17XX BLOCK OF NE 77 ST
241,NE 92 ST / 5 AV NE
242,9XX BLOCK OF N 103 ST
243,5XX BLOCK OF UNION ST
244,E OLIVE WY / BELLEVUE AV
245,15XX BLOCK OF 6 AV
246,75XX BLOCK OF SUNNYSIDE AV N
247,10XX BLOCK OF NE 65 ST
248,18XX BLOCK OF 18 AV
249,73XX BLOCK OF RAINIER AV S
250,NE 47 ST / 18 AV NE
251,MARTIN LUTHER KING JR WY S / S BOEING ACCESS RD
252,42XX BLOCK OF W MARGINAL WY SW
253,3 AV / STEWART ST
254,3XX BLOCK OF OCCIDENTAL AV S
255,48XX BLOCK OF S DIRECTOR ST
256,S GRAHAM ST / MARTIN LUTHER KING JR WY S
257,87XX BLOCK OF 16 AV NW
258,74XX BLOCK OF RAINIER AV S
259,23XX BLOCK OF S HILL ST
260,45XX BLOCK OF 42 AV SW
261,MARTIN LUTHER KING JR WY S / S TRENTON ST
262,5XX BLOCK OF PINE ST
263,25XX BLOCK OF 32 AV W
264,28XX BLOCK OF SW YANCY ST
265,N 117 PL / AURORA AV N
266,E MARGINAL WY S / S WILLOW ST
267,22XX BLOCK OF WESTLAKE AV
268,1 AV / VINE ST
269,12XX BLOCK OF PINE ST
270,66XX BLOCK OF RAINIER AV S
271,22XX BLOCK OF 4 AV S
272,20XX BLOCK OF NW 56 ST
273,25XX BLOCK OF SW BARTON ST
274,52XX BLOCK OF 4 AV S
